ObservedAgentID;CounterpartyID;EnterpriseNationalIDflag;ENI;ENINEV;LEI;LEINEV;RACI;BCI;NPNI;CountryNPNI;HeadOfficeUndertakingID;HeadOfficeUndertakingIDNEV;ImmediateParentUndertakingID;ImmediateParentUndertakingIDNEV;UltimateParentUndertakingID;UltimateParentundertakingIDNEV;TypeofEntity;Enterprise;Name;Lastname;Firstname;FirstnameNEV;Birthdate;Street;Streetnumber;City;NUTS;Postalcode;PostalcodeNEV;Country;Legalform;InstitutionalSector;EconomicActivity;StatusOfLegalProceedings;DateOfInitiationOfLegalProceedings;DateOfInitiationOfLegalProceedingsNEV;EnterpriseSize;DateOfEnterpriseSize;DateOfEnterpriseSizeNEV;NumberOfEmployees;NumberOfEmployeesNEV;BalanceSheetTotal;BalanceSheetTotalNEV;AnnualTurnover;AnnualTurnoverNEV;AccountingStandard;ENINAFlag;NatPersonNINApFlag
444555999;444555999;;444555999;;;;;;;;;;;;;;LE;Y;EIGENHEIMKREDITGESELLSCHAFT;SA SCHS;4960;;;Rue des Arsilliers 26;;MALMEDY;;4960;;BE;;;;;;;;;;;;;;;;;0;0
444555999;220-00-03460-04_1;;;;;;79102799917;;79102799917;BE;;;;;;;NLE;N;;SWUGTNDJO;Ciqkuf H W;;1979-10-27;Rku Usgx Ppexx Bxgdhbco 32;;HERSTAL;;4040;;BE;;;;;;;;;;;;;;;;;0;0
444555999;220-00-03475-19_1;;;;;;70092599975;;70092599975;BE;;;;;;;NLE;N;;DJJRJPPM;Cthhuwqxe X;;1970-09-25;Rlq Kpsoxvhj Bcigog 07;;HERSTAL;;4040;;BE;;;;;;;;;;;;;;;;;0;0
444555999;220-00-03500-44_1;;;;;;62070299901;;62070299901;BE;;;;;;;NLE;N;;SUDOXPRMJ;Iheplt B L;;1962-07-02;Büthbfqlh Xojdßw;119;AMEL-MIRFELD;;4770;;BE;;;;;;;;;;;;;;;;;0;0
444555999;220-00-03505-49_1;;;;;;64052099971;;64052099971;BE;;;;;;;NLE;N;;CUDEKXO;Psywbvho S-s;;1964-05-20;Rlo Ge Le Aopphnfchd 56;;WELKENRAEDT;;4840;;BE;;;;;;;;;;;;;;;;;0;0
444555999;220-00-03505-49_2;;;;;;68070399997;;68070399997;BE;;;;;;;NLE;N;;SBOSENN;Rwlb Prungdoth;;1968-07-03;Rlo Ge Le Aopphnfchd 56;;WELKENRAEDT;;4840;;BE;;;;;;;;;;;;;;;;;0;0
444555999;220-00-03508-52_1;;;;;;70100899910;;70100899910;BE;;;;;;;NLE;N;;PAVE;Mrhro P L X;;1970-10-08;Hwhgpeupmsubg 7;;RAEREN;;4730;;BE;;;;;;;;;;;;;;;;;0;0
444555999;220-00-03522-66_1;;;;;;65072499983;;65072499983;BE;;;;;;;NLE;N;;VGPEHV;Pqfrq F F;;1965-07-24;Ligyghqwfsgs 42/o;;MALMEDY;;4960;;BE;;;;;;;;;;;;;;;;;0;0
444555999;220-00-03522-66_2;;;;;;RACI_71040399942;;;BE;;;;;;;NLE;N;;KKQDHOH;Smhml I P;;1971-04-03;Ligyghqwfsgs 42/o;;MALMEDY;;4960;;;;;;;;;;;;;;;;;;;0;1
444555999;220-00-03527-71_1;;;;;;69021599914;;69021599914;BE;;;;;;;NLE;N;;RALQBETJ;Mmwyni Lalu A O;;1969-02-15;Hytnpdlle 35;;VIELSALM;;6690;;BE;;;;;;;;;;;;;;;;;0;0
